Ped: 121; passo: 4
Ped: 52; passo: 13
Ped: 7; passo: 19
Ped: 17; passo: 24
Ped: 56; passo: 27
Ped: 42; passo: 31
Ped: 95; passo: 37
Ped: 31; passo: 41
Ped: 88; passo: 49
Ped: 89; passo: 52
Ped: 127; passo: 55
Ped: 135; passo: 57
Ped: 112; passo: 59
Ped: 18; passo: 61
Ped: 15; passo: 65
Ped: 21; passo: 65
Ped: 5; passo: 69
Ped: 67; passo: 69
Ped: 24; passo: 72
Ped: 129; passo: 73
Ped: 32; passo: 75
Ped: 36; passo: 78
Ped: 91; passo: 80
Ped: 137; passo: 80
Ped: 100; passo: 82
Ped: 19; passo: 84
Ped: 85; passo: 88
Ped: 1; passo: 89
Ped: 26; passo: 89
Ped: 39; passo: 92
Ped: 12; passo: 93
Ped: 110; passo: 93
Ped: 87; passo: 96
Ped: 92; passo: 96
Ped: 23; passo: 98
Ped: 113; passo: 101
Ped: 74; passo: 102
Ped: 123; passo: 103
Ped: 47; passo: 105
Ped: 111; passo: 106
Ped: 138; passo: 109
Ped: 27; passo: 112
Ped: 58; passo: 113
Ped: 120; passo: 113
Ped: 104; passo: 118
Ped: 10; passo: 119
Ped: 117; passo: 120
Ped: 9; passo: 125
Ped: 103; passo: 125
Ped: 122; passo: 125
Ped: 46; passo: 130
Ped: 72; passo: 131
Ped: 20; passo: 132
Ped: 86; passo: 133
Ped: 59; passo: 137
Ped: 34; passo: 142
Ped: 140; passo: 143
Ped: 115; passo: 145
Ped: 68; passo: 148
Ped: 98; passo: 148
Ped: 124; passo: 154
Ped: 99; passo: 156
Ped: 13; passo: 158
Ped: 93; passo: 162
Ped: 118; passo: 163
Ped: 60; passo: 164
Ped: 48; passo: 165
Ped: 136; passo: 167
Ped: 30; passo: 171
Ped: 79; passo: 171
Ped: 33; passo: 174
Ped: 114; passo: 176
Ped: 105; passo: 180
Ped: 66; passo: 184
Ped: 71; passo: 187
Ped: 125; passo: 190
Ped: 141; passo: 192
Ped: 54; passo: 193
Ped: 41; passo: 194
Ped: 80; passo: 198
Ped: 109; passo: 199
Ped: 126; passo: 209
Ped: 63; passo: 211
Ped: 35; passo: 217
Ped: 90; passo: 218
Ped: 64; passo: 223
Ped: 107; passo: 223
Ped: 57; passo: 226
Ped: 51; passo: 229
Ped: 14; passo: 231
Ped: 37; passo: 238
Ped: 40; passo: 239
Ped: 3; passo: 241
Ped: 134; passo: 245
Ped: 96; passo: 251
Ped: 53; passo: 256
Ped: 131; passo: 259
Ped: 28; passo: 263
Ped: 50; passo: 266
Ped: 119; passo: 269
Ped: 106; passo: 270
Ped: 94; passo: 274
Ped: 62; passo: 278
Ped: 78; passo: 279
Ped: 75; passo: 285
Ped: 84; passo: 285
Ped: 83; passo: 289
Ped: 65; passo: 291
Ped: 70; passo: 296
Ped: 8; passo: 297
Ped: 45; passo: 302
Ped: 38; passo: 304
Ped: 76; passo: 308
Ped: 133; passo: 310
Ped: 139; passo: 313
Ped: 69; passo: 316
Ped: 16; passo: 319
Ped: 82; passo: 323
Ped: 130; passo: 323
Ped: 44; passo: 327
Ped: 73; passo: 329
Ped: 77; passo: 333
Ped: 2; passo: 336
Ped: 81; passo: 339
Ped: 108; passo: 341
Ped: 25; passo: 346
Ped: 132; passo: 349
Ped: 11; passo: 352
Ped: 22; passo: 357
Ped: 97; passo: 361
Ped: 61; passo: 365
Ped: 4; passo: 369
Ped: 43; passo: 375
Ped: 49; passo: 380
Ped: 128; passo: 386
Ped: 29; passo: 394
Ped: 101; passo: 405
Ped: 6; passo: 419
Taxa de saida: 98.57%
