Ped: 16; passo: 2
Ped: 31; passo: 7
Ped: 55; passo: 7
Ped: 122; passo: 8
Ped: 137; passo: 8
Ped: 17; passo: 14
Ped: 22; passo: 14
Ped: 94; passo: 14
Ped: 71; passo: 15
Ped: 125; passo: 19
Ped: 99; passo: 22
Ped: 25; passo: 24
Ped: 51; passo: 27
Ped: 108; passo: 27
Ped: 49; passo: 29
Ped: 103; passo: 29
Ped: 109; passo: 31
Ped: 46; passo: 33
Ped: 68; passo: 33
Ped: 19; passo: 34
Ped: 95; passo: 35
Ped: 134; passo: 35
Ped: 124; passo: 36
Ped: 59; passo: 37
Ped: 78; passo: 37
Ped: 29; passo: 38
Ped: 112; passo: 38
Ped: 75; passo: 39
Ped: 9; passo: 41
Ped: 100; passo: 41
Ped: 64; passo: 43
Ped: 89; passo: 43
Ped: 117; passo: 43
Ped: 87; passo: 44
Ped: 82; passo: 45
Ped: 91; passo: 45
Ped: 133; passo: 45
Ped: 135; passo: 46
Ped: 97; passo: 48
Ped: 145; passo: 49
Ped: 131; passo: 51
Ped: 132; passo: 51
Ped: 2; passo: 53
Ped: 56; passo: 53
Ped: 77; passo: 55
Ped: 35; passo: 56
Ped: 38; passo: 56
Ped: 116; passo: 57
Ped: 136; passo: 57
Ped: 1; passo: 60
Ped: 104; passo: 60
Ped: 86; passo: 61
Ped: 93; passo: 61
Ped: 62; passo: 62
Ped: 28; passo: 63
Ped: 13; passo: 65
Ped: 42; passo: 65
Ped: 54; passo: 65
Ped: 14; passo: 66
Ped: 7; passo: 67
Ped: 121; passo: 67
Ped: 69; passo: 68
Ped: 32; passo: 69
Ped: 80; passo: 69
Ped: 47; passo: 70
Ped: 119; passo: 70
Ped: 72; passo: 71
Ped: 36; passo: 72
Ped: 39; passo: 72
Ped: 3; passo: 73
Ped: 88; passo: 73
Ped: 127; passo: 73
Ped: 5; passo: 74
Ped: 126; passo: 75
Ped: 57; passo: 76
Ped: 52; passo: 77
Ped: 85; passo: 77
Ped: 102; passo: 77
Ped: 4; passo: 78
Ped: 70; passo: 78
Ped: 129; passo: 79
Ped: 12; passo: 80
Ped: 142; passo: 80
Ped: 81; passo: 82
Ped: 92; passo: 82
Ped: 20; passo: 83
Ped: 96; passo: 83
Ped: 138; passo: 83
Ped: 90; passo: 85
Ped: 40; passo: 86
Ped: 37; passo: 87
Ped: 101; passo: 88
Ped: 43; passo: 89
Ped: 48; passo: 90
Ped: 50; passo: 91
Ped: 111; passo: 91
Ped: 139; passo: 92
Ped: 10; passo: 94
Ped: 79; passo: 94
Ped: 130; passo: 94
Ped: 73; passo: 96
Ped: 53; passo: 97
Ped: 44; passo: 98
Ped: 63; passo: 98
Ped: 30; passo: 101
Ped: 61; passo: 102
Ped: 67; passo: 102
Ped: 105; passo: 104
Ped: 76; passo: 105
Ped: 113; passo: 105
Ped: 106; passo: 108
Ped: 146; passo: 108
Ped: 34; passo: 112
Ped: 58; passo: 112
Ped: 6; passo: 117
Ped: 128; passo: 117
Ped: 27; passo: 123
Ped: 140; passo: 126
Ped: 141; passo: 130
Ped: 41; passo: 136
Ped: 15; passo: 140
Ped: 143; passo: 146
Ped: 120; passo: 150
Ped: 11; passo: 152
Ped: 21; passo: 176
Taxa de saida: 86.21%
