Ped: 13; passo: 2
Ped: 113; passo: 4
Ped: 74; passo: 7
Ped: 128; passo: 9
Ped: 78; passo: 10
Ped: 10; passo: 13
Ped: 1; passo: 14
Ped: 52; passo: 15
Ped: 69; passo: 16
Ped: 85; passo: 16
Ped: 142; passo: 16
Ped: 34; passo: 17
Ped: 59; passo: 20
Ped: 106; passo: 21
Ped: 77; passo: 23
Ped: 5; passo: 24
Ped: 49; passo: 24
Ped: 71; passo: 24
Ped: 137; passo: 26
Ped: 60; passo: 27
Ped: 81; passo: 27
Ped: 133; passo: 27
Ped: 75; passo: 31
Ped: 140; passo: 31
Ped: 53; passo: 33
Ped: 67; passo: 33
Ped: 130; passo: 33
Ped: 146; passo: 33
Ped: 19; passo: 35
Ped: 95; passo: 35
Ped: 115; passo: 37
Ped: 116; passo: 37
Ped: 109; passo: 38
Ped: 125; passo: 40
Ped: 61; passo: 41
Ped: 97; passo: 41
Ped: 141; passo: 41
Ped: 8; passo: 42
Ped: 26; passo: 42
Ped: 138; passo: 44
Ped: 24; passo: 45
Ped: 100; passo: 45
Ped: 124; passo: 46
Ped: 47; passo: 47
Ped: 21; passo: 49
Ped: 37; passo: 49
Ped: 72; passo: 49
Ped: 12; passo: 50
Ped: 121; passo: 52
Ped: 122; passo: 52
Ped: 62; passo: 53
Ped: 6; passo: 54
Ped: 91; passo: 54
Ped: 136; passo: 54
Ped: 143; passo: 54
Ped: 145; passo: 54
Ped: 83; passo: 56
Ped: 89; passo: 60
Ped: 68; passo: 61
Ped: 103; passo: 61
Ped: 15; passo: 62
Ped: 23; passo: 65
Ped: 131; passo: 65
Ped: 144; passo: 67
Ped: 50; passo: 68
Ped: 46; passo: 70
Ped: 102; passo: 71
Ped: 58; passo: 72
Ped: 111; passo: 72
Ped: 94; passo: 73
Ped: 127; passo: 73
Ped: 38; passo: 74
Ped: 104; passo: 74
Ped: 2; passo: 77
Ped: 17; passo: 77
Ped: 30; passo: 77
Ped: 65; passo: 77
Ped: 86; passo: 77
Ped: 99; passo: 77
Ped: 3; passo: 79
Ped: 117; passo: 79
Ped: 7; passo: 81
Ped: 29; passo: 81
Ped: 36; passo: 81
Ped: 82; passo: 82
Ped: 43; passo: 84
Ped: 114; passo: 84
Ped: 134; passo: 84
Ped: 110; passo: 85
Ped: 132; passo: 86
Ped: 126; passo: 87
Ped: 9; passo: 89
Ped: 40; passo: 89
Ped: 41; passo: 90
Ped: 98; passo: 90
Ped: 66; passo: 92
Ped: 76; passo: 94
Ped: 123; passo: 94
Ped: 25; passo: 95
Ped: 70; passo: 95
Ped: 14; passo: 97
Ped: 4; passo: 98
Ped: 63; passo: 100
Ped: 92; passo: 100
Ped: 55; passo: 101
Ped: 96; passo: 103
Ped: 139; passo: 104
Ped: 51; passo: 107
Ped: 90; passo: 107
Ped: 33; passo: 108
Ped: 28; passo: 109
Ped: 27; passo: 111
Ped: 87; passo: 113
Ped: 54; passo: 115
Ped: 93; passo: 116
Ped: 16; passo: 120
Ped: 11; passo: 123
Ped: 44; passo: 125
Ped: 120; passo: 127
Ped: 18; passo: 130
Ped: 56; passo: 135
Ped: 45; passo: 136
Ped: 73; passo: 142
Ped: 135; passo: 144
Ped: 64; passo: 149
Ped: 105; passo: 155
Ped: 31; passo: 162
Taxa de saida: 87.59%
